Iteration,fmaScalar,indexInRange,fma
0,8.241661596472402e-05,0.0169139154279333,7.032977669010677e-05
1,2.473664359856181e-05,0.0168894028382147,0.0003849621085045
2,7.388210689035896e-05,0.0169156954171921,0.0001562587311188
3,0.0002001378947208,0.016872020881563,0.0001331811985041
4,0.0004981439788612,0.0167673685760477,3.0835271363928295e-05
5,1.6800843917646133e-06,0.0175440490396665,0.0002072721793326
6,9.521149850665026e-05,0.0169187518828167,0.0001069398626142
7,1.4472838816742263e-05,0.0169215994764377,6.0956058586180046e-05
8,0.0002130499641852,0.0169328563186636,2.822826835458577e-05
9,0.0002577538922666,0.0168929103856948,0.0001410104717102
